"Treatment","P(Y=1|Z=1)","e(1)","APR (LB)","APR (UB)","LPR"
"VCM",9.52782462057336,37.6053962900506,9.52782462057336,71.9224283305228,25.3363228699552
"VCM with seed money",5.22620904836193,35.3354134165367,5.22620904836193,69.8907956318253,14.7902869757174
"Single-prize lottery",17.1339563862928,37.6947040498442,17.1339563862928,79.4392523364486,45.4545454545455
"Multiple-prize lottery",12.6248216833096,35.1640513552068,12.6248216833096,77.4607703281027,35.9026369168357
"All",10.8007448789572,36.3128491620112,10.8007448789572,74.487895716946,29.7435897435897
