"Row","P(Y=1|Z=1)","e(1)","APR (LB)","APR (UB)","LPR"
"La Rabida: Baseline",7.06977737963085,40.4539884988684,7.06977737963085,66.6157888807625,17.4760947979916
"La Rabida: Flyer",6.84986172422079,36.4229805194603,6.84986172422079,70.4268812047605,18.8064283222539
"La Rabida: Opt-Out",5.37944672165319,30.4485675488348,5.37944672165319,74.9308791728184,17.6673228158447
"Ecu: Baseline",4.7002953915079,43.0304171810593,4.7002953915079,61.6698782104486,10.9231927074526
"Ecu: Flyer",5.13991161250175,39.649383505115,5.13991161250175,65.4905281073867,12.9634086538538
"Ecu: Opt-Out",2.96285291425994,34.3948093175541,2.96285291425994,68.5680435967058,8.61424433816467
